[00:00:00 - 00:00:02]   담배를 꺼내 아줌마야 빨리
[00:00:02 - 00:00:05]   잠깐만요 트렁크에서 주퀘스 쓸거 갈게요
[00:00:08 - 00:00:10]   아유 살았다 야 화장실
[00:00:10 - 00:00:12]   야 화장실 어딨냐
[00:00:16 - 00:00:17]   깜짝이야
[00:00:17 - 00:00:18]   누구세요
[00:00:22 - 00:00:23]   뭐야
[00:00:26 - 00:00:28]   하마터면 바지에 쌀뻔했네
[00:00:28 - 00:00:29]   빨리 좀 움직이지 그랬냐
[00:00:30 - 00:00:32]   너 새끼 너 아까 저기 낮에 저기
[00:00:33 - 00:00:34]   사장님
[00:00:34 - 00:00:35]   고생이 많다야
[00:00:36 - 00:00:37]   우리 식구들 아직 안 왔니
[00:00:37 - 00:00:38]   아니 안들려?
[00:00:38 - 00:00:39]   뭐냐고
[00:00:42 - 00:00:43]   여보세요
[00:00:43 - 00:00:44]   아 뭐해 안오고
[00:00:45 - 00:00:46]   누구시냐고
[00:00:46 - 00:00:47]   뭐?
[00:00:48 - 00:00:49]   뭐 뒤에서?
[00:00:49 - 00:00:51]   기름도 안넣고 상황대기 하고 있었다고?
[00:00:52 - 00:00:54]   나 진짜 장난
[00:00:54 - 00:00:56]   빨리 와 배고파 뒤지겠어
[00:00:57 - 00:00:58]   뭐하냐 안자고
[00:00:58 - 00:01:00]   너 어디 식구들 이런거 가지고 작업하냐
[00:01:02 - 00:01:04]   에이 그러지마
[00:01:05 - 00:01:06]   다쳐
[00:01:27 - 00:01:28]   뭐하는 짓이야
[00:01:49 - 00:01:50]   뭐하는 짓이야
[00:01:51 - 00:01:52]   뭐하는 짓이야
[00:01:56 - 00:01:57]   뭐하는 짓이야
[00:02:14 - 00:02:15]   공장 그만
[00:02:16 - 00:02:17]   야 그냥 들어가
[00:02:17 - 00:02:19]   왜 굴러댕기고 지랄이야 정신사납게
[00:02:20 - 00:02:21]   차 안상했어
[00:02:21 - 00:02:24]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안되는거야
[00:02:24 - 00:02:26]   내가 그랬지 사람 다쳤나 먼저 물어보라고
[00:02:27 - 00:02:28]   야 이 새끼야
[00:02:28 - 00:02:29]   얘야?
[00:02:30 - 00:02:31]   변호사 빌려
[00:02:34 - 00:02:36]   전화를 한통 안다니까 깜빡했네
[00:02:36 - 00:02:37]   부재중이다
[00:02:38 - 00:02:39]   야 손오철
[00:02:39 - 00:02:42]   나 전화 한통 올테니까 너 여기 꼼짝말고 있어
[00:02:43 - 00:02:44]   아니 잠깐만
[00:02:45 - 00:02:48]   너 이번에도 애 병신 만들면 내가 커버를 못해줘요
[00:02:48 - 00:02:51]   저때 우리 하우스 털었을때 애 괜히 손대가지고
[00:02:51 - 00:02:54]   걔야 지금 밥먹을때 턱받이하고 침질질하면서 밥먹는다니까
[00:02:55 - 00:02:56]   밥주면 막 좋아하고
[00:02:57 - 00:03:00]   아 얘 이거 사람 때리고 싶어서 형사되가지고 걸치아픈데 진짜
[00:03:04 - 00:03:05]   일로와 괜찮아 임마 잡아
[00:03:06 - 00:03:07]   잡아 두손으로
[00:03:08 - 00:03:10]   경찰을 때리면 어떡하냐 그것도 등기로
[00:03:11 - 00:03:12]   예
[00:03:13 - 00:03:15]   그 징금을 일단 내려놓고 내려놔 빨리
[00:03:16 - 00:03:17]   정당방위다
[00:03:18 - 00:03:19]   이 새끼가
[00:03:21 - 00:03:22]   말로해 말로
[00:03:23 - 00:03:24]   말로 말로
[00:03:25 - 00:03:26]   똑바로 앉아
[00:03:26 - 00:03:27]   똑바로 앉아 임마
[00:03:33 - 00:03:34]   힘들지?
[00:03:34 - 00:03:35]   타고가
[00:03:36 - 00:03:37]   물 줘?
[00:03:38 - 00:03:39]   물 좀 줘
[00:03:41 - 00:03:42]   나 서울가면 할일 많거든
[00:03:43 - 00:03:44]   그냥 타고가자
[00:03:44 - 00:03:45]   가자
[00:03:50 - 00:03:51]   빨리 갑시다
