[00:00:00 - 00:00:02]   장비를 꺼내야지, 빨리!
[00:00:02 - 00:00:05]   잠깐만요, 트렁크에서 주킬 수 있을 것 같아요
[00:00:09 - 00:00:12]   살았다, 화장실! 화장실 어딨어?
[00:00:16 - 00:00:17]   깜짝이야
[00:00:17 - 00:00:18]   누구세요?
[00:00:22 - 00:00:23]   뭐야?
[00:00:26 - 00:00:28]   하마터면 바지에 쌀 뻔했네
[00:00:28 - 00:00:30]   빨리 좀 움직이지 그랬냐?
[00:00:30 - 00:00:33]   너 새끼, 너 아까 낮에 저기...
[00:00:33 - 00:00:34]   사장님?
[00:00:34 - 00:00:36]   고생이 많다야
[00:00:36 - 00:00:38]   우리 식구들 아직 안 왔니?
[00:00:38 - 00:00:40]   아니, 안 들려? 오냐고!
[00:00:42 - 00:00:43]   여보세요
[00:00:43 - 00:00:45]   뭐해, 안 오고?
[00:00:45 - 00:00:47]   누구시냐고!
[00:00:47 - 00:00:48]   뭐?
[00:00:48 - 00:00:50]   뭐, 뒤에서?
[00:00:50 - 00:00:52]   기름도 안 넣고 상황 대기하고 있었다고?
[00:00:52 - 00:00:54]   나 진짜 장난...
[00:00:54 - 00:00:56]   빨리 와, 배고파 뒤지겠어
[00:00:59 - 00:01:00]   뭐하냐, 안 자고?
[00:01:00 - 00:01:03]   너 어디 식구들 이런 거 가지고 작업하냐?
[00:01:04 - 00:01:06]   에이, 그러지 마
[00:01:07 - 00:01:08]   다쳐
[00:01:29 - 00:01:30]   놔!
[00:01:50 - 00:01:51]   놔, 놔, 놔!
[00:01:51 - 00:01:52]   놔!
[00:01:58 - 00:01:59]   놔!
[00:02:15 - 00:02:17]   공장 그만!
[00:02:17 - 00:02:18]   야, 들어가!
[00:02:18 - 00:02:21]   왜 풀로 댕기고 지랄이야, 정신 사납게
[00:02:21 - 00:02:22]   차 안 상했어?
[00:02:22 - 00:02:25]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안 되는 거야
[00:02:25 - 00:02:27]   내가 그랬지, 사람 다쳤나 먼저 물어보라고
[00:02:28 - 00:02:29]   야, 이 새끼야
[00:02:29 - 00:02:30]   얘야?
[00:02:30 - 00:02:31]   일어나, 이 새끼야
[00:02:31 - 00:02:33]   변호사 불러!
[00:02:35 - 00:02:38]   나 전화를 한 통 안 된다니까 깜빡했네
[00:02:38 - 00:02:39]   부재중이다
[00:02:40 - 00:02:41]   야, 손오철
[00:02:41 - 00:02:44]   나 전화 한 통 올 테니까 너 여기 걱정 말고 있어
[00:02:44 - 00:02:46]   아니, 잠깐만
[00:02:47 - 00:02:50]   너 이번에도 애 병신 만들면 내가 커버를 못 해줘요
[00:02:50 - 00:02:53]   저때 우리 하우스 털었을 때 애 괜히 손 대가지고
[00:02:53 - 00:02:57]   걔 지금 밥 먹을 때 턱받이하고 침 질질 나면서 밥 먹는다니까
[00:02:57 - 00:02:59]   밥 좀 막 좋아하고
[00:02:59 - 00:03:03]   아, 얘 이거 사람 때리고 싶어서 형사 돼가지고 걸치 아픈데, 진짜
[00:03:05 - 00:03:07]   이리 와, 괜찮아, 잡아
[00:03:07 - 00:03:09]   잡아, 두 손으로
[00:03:09 - 00:03:13]   경찰을 때리면 어떡하냐, 그것도 등기로
[00:03:13 - 00:03:14]   네?
[00:03:14 - 00:03:17]   그 징금을 일단 내려놓고 내려놔, 빨리
[00:03:17 - 00:03:19]   정당방위다, 이 새끼
[00:03:19 - 00:03:21]   이 새끼가
[00:03:22 - 00:03:25]   말로 해, 말로! 말로! 말로! 말로!
[00:03:26 - 00:03:29]   똑바로 앉아, 똑바로 앉아, 인마
[00:03:34 - 00:03:36]   힘들지? 타고 가
[00:03:37 - 00:03:38]   물 줘?
[00:03:39 - 00:03:40]   안 된다
[00:03:41 - 00:03:43]   나 서울 가면 할 일 많거든
[00:03:44 - 00:03:45]   그냥 타고 가자
[00:03:50 - 00:03:51]   빨리 갑시다
[00:03:51 - 00:03:55]   그래, 니 친구들하고 같이 타고 가면 얼마나 좋아
[00:03:57 - 00:03:58]   가자!
[00:03:59 - 00:04:03]   신진물산 부사장으로 승진하실 조태오 기획 조정실장
[00:04:03 - 00:04:05]   조태오! 조태오!
[00:04:05 - 00:04:07]   혹시 제가 아는 신진물산...
[00:04:07 - 00:04:08]   아, 왜 그러세요?
[00:04:08 - 00:04:10]   모는 자리인데 그냥 자수하던지 받으세요
[00:04:10 - 00:04:12]   근데 윤 사장으로는 어떻게 해야 돼?
[00:04:12 - 00:04:17]   조 실장 미국 유학생활할 때 다혜랑 촬영 갔다 만나가지고 신세 많이 졌지?
[00:04:17 - 00:04:19]   아이고, 밥 한 그릇 산 거 가지고
[00:04:19 - 00:04:21]   아시겠지만 나이 이제 훨씬 어려워
[00:04:24 - 00:04:26]   재벌하고 술을 다 마셔보고
[00:04:27 - 00:04:29]   근데 재벌은 좀 다르게 놀 줄 알았는데
[00:04:50 - 00:04:51]   그만해!
[00:04:58 - 00:05:00]   재벌은 이렇게 놀아야 되나?
[00:05:08 - 00:05:09]   죄송합니다!
[00:05:10 - 00:05:12]   재벌이 이렇게 밖에 못 놉니다!
[00:05:12 - 00:05:13]   용서해 주십시오!
