[00:00:00 - 00:00:02]   장비를 꺼내 아줌마 빨리
[00:00:02 - 00:00:05]   잠깐만요 트렁크에서 지키실 수 있을 것 같아요
[00:00:08 - 00:00:10]   아유 살았다 화장실
[00:00:10 - 00:00:12]   화장실 어딨어
[00:00:15 - 00:00:16]   깜짝이야
[00:00:16 - 00:00:17]   누구세요
[00:00:23 - 00:00:25]   하마터면 바지에 쌀 뻔했네
[00:00:25 - 00:00:27]   빨리 좀 움직이지 그랬냐
[00:00:27 - 00:00:30]   너 새끼 너 아까 저기 낮에 저기
[00:00:30 - 00:00:31]   사장님
[00:00:31 - 00:00:33]   고생이 많다야
[00:00:33 - 00:00:35]   우리 식구들 아직 안 왔니?
[00:00:35 - 00:00:37]   아니 안 들려? 오냐고
[00:00:39 - 00:00:40]   여보세요
[00:00:40 - 00:00:42]   아 뭐해 안 오고
[00:00:42 - 00:00:44]   누구시냐고
[00:00:44 - 00:00:45]   뭐?
[00:00:45 - 00:00:47]   뭐 뒤에서?
[00:00:47 - 00:00:49]   기름도 안 넣고 상황대기 하고 있었다고?
[00:00:49 - 00:00:51]   나 진짜 장난
[00:00:51 - 00:00:54]   빨리 와 배고파 뒤지겠어
[00:00:55 - 00:00:57]   뭐하냐 앉자고
[00:00:57 - 00:01:00]   너 어디 식구들 이런거 가지고 작업하냐
[00:01:01 - 00:01:03]   에이 그러지마
[00:01:03 - 00:01:05]   다쳐
[00:01:24 - 00:01:26]   하지마
[00:01:46 - 00:01:47]   죽어라
[00:01:47 - 00:01:48]   죽어
[00:01:55 - 00:01:57]   할아버지
[00:01:59 - 00:02:00]   왜 이래?
[00:02:10 - 00:02:11]   어허, 혼자 크나?
[00:02:11 - 00:02:12]   우리 수도 exclusive
[00:02:13 - 00:02:15]   야, 들어가. 너 끌러댕기고 지랄이야. 정신사납게
[00:02:16 - 00:02:17]   차 안상했어?
[00:02:17 - 00:02:20]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안되는거야
[00:02:20 - 00:02:22]   내가 그랬지. 사람 다쳤는지 먼저 물어보라고
[00:02:23 - 00:02:24]   야, 이씨
[00:02:24 - 00:02:25]   얘야?
[00:02:26 - 00:02:27]   변호사 불러!
[00:02:29 - 00:02:32]   아이씨, 내가 전화를 한통만 한다니까 깜빡했네
[00:02:32 - 00:02:33]   부재중이다
[00:02:34 - 00:02:35]   야, 수도철
[00:02:35 - 00:02:38]   내가 전화 한통만 올테니까 너 여기 걱정말고 있어
[00:02:38 - 00:02:40]   아니, 잠깐만
[00:02:40 - 00:02:43]   너 이번에도 애 병신 만들면 내가 커버를 못해줘요
[00:02:43 - 00:02:46]   저때 우리 하우스 털었을때 애 괜히 손대가지고
[00:02:46 - 00:02:50]   걔 지금 밥먹을때 턱받이하고 침질질하면서 밥먹는다니까
[00:02:50 - 00:02:52]   밥좀 막 좋아하고
[00:02:52 - 00:02:56]   아, 얘 이거 사람 때리고 싶어서 형사되가지고 골치아픈데, 진짜
[00:02:58 - 00:03:02]   이리와, 괜찮아, 잡아. 두손으로
[00:03:02 - 00:03:06]   경찰을 때리면 어떡하냐. 그것도 등기로
[00:03:06 - 00:03:07]   예?
