[00:00:00 - 00:00:02]   장비를 꺼내, 아줌마, 빨리!
[00:00:02 - 00:00:05]   잠깐만요, 트렁크에서 주퀘스트를 꺼낼게요
[00:00:07 - 00:00:10]   아이고! 살았다! 화장실!
[00:00:10 - 00:00:12]   화장실 어딨어?
[00:00:15 - 00:00:16]   깜짝이야
[00:00:16 - 00:00:17]   누구세요?
[00:00:20 - 00:00:21]   뭐야?
[00:00:24 - 00:00:26]   하마터면 바지에 쌀 뻔했네
[00:00:26 - 00:00:28]   빨리 좀 움직이지 그랬냐
[00:00:28 - 00:00:31]   너 새끼 너 아까 저기 낮에 저기
[00:00:31 - 00:00:32]   사장님
[00:00:32 - 00:00:34]   아, 고생이 많다야
[00:00:34 - 00:00:36]   우리 식구들 아직 안 왔니?
[00:00:36 - 00:00:38]   아니, 안 들려? 오냐고!
[00:00:40 - 00:00:41]   여보세요
[00:00:41 - 00:00:43]   아, 뭐해? 안 오고
[00:00:43 - 00:00:45]   누구시냐고!
[00:00:45 - 00:00:46]   뭐?
[00:00:47 - 00:00:48]   뭐, 뒤에서?
[00:00:48 - 00:00:50]   기름도 안 넣고 상황 대기하고 있었다고?
[00:00:51 - 00:00:53]   나 진짜 장난...
[00:00:53 - 00:00:55]   빨리 와! 배고파 뒤지겠어
[00:00:56 - 00:00:58]   뭐하냐? 안 자고?
[00:00:58 - 00:01:01]   너 어디 식구들 이런 거 가지고 작업하냐?
[00:01:02 - 00:01:04]   에이, 그러지 마
[00:01:05 - 00:01:06]   다쳐
[00:01:26 - 00:01:27]   놔!
[00:01:48 - 00:01:49]   놔! 놔!
[00:01:49 - 00:01:50]   놔! 놔!
[00:01:50 - 00:01:51]   놔!
[00:01:55 - 00:01:56]   놔!
[00:01:56 - 00:01:57]   놔!
[00:01:58 - 00:01:59]   놔!
[00:01:59 - 00:02:00]   놔!
[00:02:00 - 00:02:01]   놔!
[00:02:01 - 00:02:02]   놔!
[00:02:02 - 00:02:03]   놔!
[00:02:03 - 00:02:04]   놔!
[00:02:04 - 00:02:05]   놔!
[00:02:05 - 00:02:06]   놔!
[00:02:06 - 00:02:07]   놔!
[00:02:07 - 00:02:08]   놔!
[00:02:08 - 00:02:09]   놔!
[00:02:09 - 00:02:10]   놔!
[00:02:13 - 00:02:14]   아, 혼자 그만!
[00:02:14 - 00:02:15]   우리 식구들
[00:02:15 - 00:02:16]   야, 그냥 들어가
[00:02:16 - 00:02:18]   왜 불러댕기고 지랄이야? 정신사납게
[00:02:19 - 00:02:20]   차 안 상했어?
[00:02:20 - 00:02:23]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안 되는 거야
[00:02:23 - 00:02:25]   내가 그랬지 사람 다쳤나 먼저 물어보라고
[00:02:26 - 00:02:27]   야, 이 새끼야
[00:02:27 - 00:02:28]   얘야?
[00:02:29 - 00:02:31]   변호사 불러!
[00:02:32 - 00:02:33]   아, 씨발...
[00:02:33 - 00:02:35]   내가 전화를 한 통 안 했는데 깜빡했네
[00:02:36 - 00:02:37]   부재중이네
[00:02:37 - 00:02:39]   야, 서도철!
[00:02:39 - 00:02:42]   나 전화 한 통 올 테니까 너 여기 꼼짝 말고 있어
[00:02:42 - 00:02:44]   아니, 잠깐만!
[00:02:44 - 00:02:47]   너 이번에도 애 병신 만들면 내가 커버를 못 해줘요
[00:02:47 - 00:02:50]   저때 우리 하우스 털었을 때 애 괜히 손 대가지고
[00:02:50 - 00:02:54]   걔야 지금 밥 먹을 때 턱받이하고 침 질질 나면서 밥 먹는다니까?
[00:02:54 - 00:02:56]   밥 주면 막 좋아하고
[00:02:57 - 00:03:00]   아, 얘 이거 사람 때리고 싶어서 형사 돼가지고 골치 아픈데 진짜
[00:03:02 - 00:03:03]   이리 와
[00:03:03 - 00:03:04]   이리 와, 괜찮아 임마
[00:03:04 - 00:03:06]   잡아, 두 손으로
[00:03:07 - 00:03:10]   경찰을 때리면 어떡하냐? 그것도 등기로
