[00:00:00 - 00:00:02]   아 잠깐만요 트렁크에서
[00:00:02 - 00:00:04]   죽겠을 것 같아요
[00:00:04 - 00:00:06]   아이고
[00:00:06 - 00:00:08]   아유 살았다 야 화장실
[00:00:08 - 00:00:10]   화장실 어딨어 아이고
[00:00:10 - 00:00:12]   깜짝이야
[00:00:12 - 00:00:14]   누구세요
[00:00:14 - 00:00:16]   뭐야
[00:00:16 - 00:00:18]   에이
[00:00:18 - 00:00:20]   하마터면 바지에 쌀뻔했네
[00:00:20 - 00:00:22]   빨리 좀 움직이지 그랬냐
[00:00:22 - 00:00:24]   너 새끼 너 아까 저기 낮에 저기
[00:00:24 - 00:00:26]   사장님
[00:00:26 - 00:00:28]   고생이 많다야
[00:00:28 - 00:00:30]   우리 식구들 아직 안 왔니
[00:00:30 - 00:00:32]   아니 안들려 뭐냐고
[00:00:32 - 00:00:34]   아
[00:00:34 - 00:00:36]   여보세요 아 뭐해 안오고
[00:00:36 - 00:00:38]   아 누구시냐고
[00:00:38 - 00:00:40]   뭐
[00:00:40 - 00:00:42]   뭐 뒤에서 기름도 안넣고
[00:00:42 - 00:00:44]   상황되게 하고 있었다고
[00:00:44 - 00:00:46]   아 진짜 장난아
[00:00:46 - 00:00:48]   아 빨리와 배고파 뒤지겄어
[00:00:48 - 00:00:50]   뭐하냐 안차고
[00:00:50 - 00:00:52]   너 어디 식구들 이런거 가지고 작업하냐
[00:00:52 - 00:00:54]   에이 그러지마
[00:00:54 - 00:00:56]   다쳐
[00:00:58 - 00:01:00]   아
[00:01:00 - 00:01:02]   아
[00:01:02 - 00:01:04]   아
[00:01:04 - 00:01:06]   아
[00:01:06 - 00:01:08]   아
[00:01:08 - 00:01:10]   아
[00:01:14 - 00:01:16]   아
[00:01:16 - 00:01:18]   으
[00:01:18 - 00:01:20]   으
[00:01:20 - 00:01:22]   으
[00:01:22 - 00:01:24]   흐
[00:01:24 - 00:01:26]   으
[00:01:26 - 00:01:28]   으
[00:01:28 - 00:01:30]   오
[00:01:30 - 00:01:32]   오
[00:01:32 - 00:01:34]   오
[00:01:34 - 00:01:36]   오
[00:01:36 - 00:01:38]   오
[00:01:38 - 00:01:40]   오
[00:01:40 - 00:01:42]   오
[00:01:42 - 00:01:44]   오
[00:01:44 - 00:01:46]   오
[00:01:46 - 00:01:48]   오
[00:01:48 - 00:01:50]   아
[00:01:50 - 00:01:52]   아
[00:01:52 - 00:01:54]   오
[00:01:54 - 00:01:56]   오
[00:01:56 - 00:01:58]   오
[00:01:58 - 00:02:00]   오
[00:02:00 - 00:02:02]   오
[00:02:02 - 00:02:04]   오
[00:02:04 - 00:02:06]   어
[00:02:06 - 00:02:08]   어
[00:02:08 - 00:02:10]   아
[00:02:10 - 00:02:12]   오
[00:02:12 - 00:02:14]   어
[00:02:14 - 00:02:16]   어
[00:02:16 - 00:02:18]   어
[00:02:18 - 00:02:20]   어라
[00:02:20 - 00:02:22]   이것 좀 보소
[00:02:22 - 00:02:24]   어
[00:02:24 - 00:02:25]   아
[00:02:25 - 00:02:34]   읏
[00:02:34 - 00:02:36]   아
[00:02:36 - 00:02:38]   옮겨
[00:02:38 - 00:02:40]   옮겨
[00:02:40 - 00:02:44]   오
[00:02:45 - 00:02:48]   아
[00:02:48 - 00:02:50]   아
[00:02:50 - 00:02:52]   아
[00:02:52 - 00:02:54]   아
[00:02:54 - 00:02:56]   말로해 말로
[00:02:56 - 00:02:58]   말로 말로
[00:02:58 - 00:03:00]   똑바로 앉아
[00:03:00 - 00:03:02]   똑바로 앉아
[00:03:02 - 00:03:04]   힘들지?
[00:03:04 - 00:03:06]   타고가
[00:03:06 - 00:03:08]   물줘
[00:03:08 - 00:03:10]   나 그 서울가면 할일 많거든
[00:03:10 - 00:03:12]   그냥 타고가자
[00:03:12 - 00:03:14]   어
[00:03:14 - 00:03:16]   아
[00:03:16 - 00:03:18]   아
[00:03:18 - 00:03:20]   그래
[00:03:20 - 00:03:22]   네 친구들하고 같이 타고가면 얼마나 좋아
[00:03:22 - 00:03:24]   응
[00:03:24 - 00:03:26]   가자
[00:03:26 - 00:03:28]   신진물산 부사장으로 승진하실
[00:03:28 - 00:03:30]   조태호 기획조정실장
[00:03:30 - 00:03:32]   조태호
[00:03:32 - 00:03:34]   혹시
[00:03:34 - 00:03:36]   제가 아는 신진물산
[00:03:36 - 00:03:38]   아왜 그러세요
[00:03:38 - 00:03:40]   그냥 자칭하게 받으세요
[00:03:40 - 00:03:42]   윤사장으로는 어떡해
[00:03:42 - 00:03:44]   조실장 미국 유학생활할때
[00:03:44 - 00:03:46]   다혜랑 촬영갔다가 만나가지고
[00:03:46 - 00:03:48]   아시겠지만
[00:03:48 - 00:03:50]   나이 훨씬 어려워
[00:03:52 - 00:03:54]   재벌하고 술을 다 마셔보고
[00:03:54 - 00:03:56]   근데 재벌은
[00:03:56 - 00:03:58]   좀 다르게 놀줄 알았는데
[00:04:10 - 00:04:12]   그만해
[00:04:16 - 00:04:18]   재벌은 이렇게 놀아야되나
[00:04:22 - 00:04:24]   죄송합니다
[00:04:24 - 00:04:26]   재벌이 이렇게 밖에 못놉니다
[00:04:26 - 00:04:28]   용서해주십쇼
[00:04:32 - 00:04:34]   아 우리 형사님
[00:04:34 - 00:04:36]   안속이시네
[00:04:36 - 00:04:38]   베테랑이시네 베테랑
[00:04:38 - 00:04:40]   아 멋있다
[00:04:40 - 00:04:42]   창피해
