[00:00:00 - 00:00:02]   당귤 꺼내 아줌마 빨리
[00:00:02 - 00:00:05]   아 잠깐만요 트렁크에서 주퀘스트를 꺼낼게요
[00:00:09 - 00:00:12]   아유 살았다 화장실 화장실 어딨냐
[00:00:15 - 00:00:17]   깜짝이야 누구세요
[00:00:20 - 00:00:21]   뭐야
[00:00:24 - 00:00:26]   하마터면 바지에 쌀 뻔했네
[00:00:26 - 00:00:28]   빨리 좀 움직이지 그랬냐
[00:00:28 - 00:00:31]   너 새끼 너 아까 저기 낮에 저기
[00:00:31 - 00:00:32]   사장님
[00:00:32 - 00:00:34]   아 고생이 많다야
[00:00:34 - 00:00:36]   우리 식구들 아직 안 왔니
[00:00:36 - 00:00:38]   아니 안 들려? 오냐고
[00:00:40 - 00:00:41]   여보세요
[00:00:41 - 00:00:43]   아 뭐해 안 오고
[00:00:43 - 00:00:45]   야 누구시냐고
[00:00:45 - 00:00:46]   뭐?
[00:00:47 - 00:00:48]   뭐 뒤에서?
[00:00:48 - 00:00:50]   기름도 안 넣고 상황 대기하고 있었다고?
[00:00:51 - 00:00:52]   나 진짜 장난
[00:00:52 - 00:00:55]   아 빨리 와 배고파 뒤지겠어
[00:00:56 - 00:00:58]   뭐하냐 안 자고?
[00:00:58 - 00:01:01]   너 어디 식구들 이런거 가지고 작업하냐
[00:01:02 - 00:01:04]   에이 그러지마
[00:01:05 - 00:01:06]   다쳐
[00:01:26 - 00:01:27]   놔
[00:01:47 - 00:01:48]   놔 놔
[00:01:49 - 00:01:50]   놔
[00:01:55 - 00:01:56]   놔
[00:02:12 - 00:02:14]   어허 공장 그만
[00:02:14 - 00:02:15]   야 그냥 들어가
[00:02:15 - 00:02:17]   왜 불러댕기고 지랄이야 정신사납게
[00:02:17 - 00:02:18]   차 안 상했어?
[00:02:18 - 00:02:22]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안되는거야
[00:02:22 - 00:02:24]   내가 그랬지 사람 다쳤나 먼저 물어보라고
[00:02:25 - 00:02:26]   야이씨
[00:02:26 - 00:02:27]   얘야?
[00:02:28 - 00:02:29]   변호사 불러
[00:02:31 - 00:02:34]   아이씨 나 전화를 한통 안다니까 깜빡했네
[00:02:34 - 00:02:35]   부재중이야
[00:02:36 - 00:02:37]   야 손오철
[00:02:37 - 00:02:40]   나 전화 한통 올테니까 너 여기 꼼짝말고 있어
[00:02:40 - 00:02:42]   아니 잠깐만
[00:02:42 - 00:02:45]   너 이번에도 애 병신 만들면 내가 커버를 못해줘요
[00:02:45 - 00:02:48]   저때 우리 하우스 털었을 때 애 괜히 손 대가지고
[00:02:48 - 00:02:52]   걔 지금 밥 먹을 때 턱받이하고 침 질질하면서 밥 먹는다니까
[00:02:52 - 00:02:54]   밥 주면 막 좋아하고
[00:02:55 - 00:02:58]   아 얘 이거 사람 때리고 싶어서 형사 돼가지고 거체 아픈데 진짜
[00:03:02 - 00:03:04]   이리와 괜찮아 임마 잡아
[00:03:04 - 00:03:05]   잡아 두손으로
[00:03:06 - 00:03:09]   야 경찰을 때리면 어떡하냐 그것도 등기로
[00:03:10 - 00:03:11]   예?
