[00:00:00 - 00:00:02]   물기를 꺼내야지 마 빨리
[00:00:02 - 00:00:04]   아 잠깐만요 트렁크에서
[00:00:04 - 00:00:06]   지킬 수 있을 것 같아요
[00:00:06 - 00:00:08]   아이고
[00:00:08 - 00:00:10]   아유 살았다 야 화장실 화장실 어딨냐
[00:00:10 - 00:00:12]   아이고
[00:00:12 - 00:00:14]   깜짝이야
[00:00:14 - 00:00:16]   누구세요
[00:00:16 - 00:00:18]   뭐야
[00:00:18 - 00:00:20]   에이 하마터면 바지에 쌀뻔했네
[00:00:20 - 00:00:22]   빨리 좀 움직이지 그랬냐
[00:00:22 - 00:00:24]   너 새끼 너 아까 저기
[00:00:24 - 00:00:26]   낮에 저기
[00:00:26 - 00:00:28]   사장님 고생이 많다야
[00:00:28 - 00:00:30]   야 우리 식구들 아직 안 왔니
[00:00:30 - 00:00:32]   아니 안 들려 뭐냐고
[00:00:32 - 00:00:34]   아
[00:00:34 - 00:00:36]   여보세요 아 뭐해 안 오고
[00:00:36 - 00:00:38]   누구시냐고
[00:00:38 - 00:00:40]   뭐?
[00:00:40 - 00:00:42]   뭐 뒤에서? 기름도 안 넣고
[00:00:42 - 00:00:44]   상황 대기하고 있었다고?
[00:00:44 - 00:00:46]   아 빨리 와 배고파 뒤지겠어
[00:00:46 - 00:00:48]   뭐하냐 안 차고
[00:00:48 - 00:00:50]   너 어디 식구들 이런거 가지고
[00:00:50 - 00:00:52]   작업하냐
[00:00:52 - 00:00:54]   에이 그러지마
[00:00:54 - 00:00:56]   다쳐
[00:00:58 - 00:01:00]   아
[00:01:00 - 00:01:02]   아
[00:01:02 - 00:01:04]   아
[00:01:06 - 00:01:08]   아
[00:01:08 - 00:01:10]   아
[00:01:11 - 00:01:13]   아
[00:01:17 - 00:01:19]   아
[00:01:20 - 00:01:22]   아
[00:01:24 - 00:01:26]   아
[00:01:31 - 00:01:33]   아
[00:01:33 - 00:01:35]   아
[00:01:36 - 00:01:38]   으
[00:01:38 - 00:01:40]   아
[00:01:41 - 00:01:43]   아
[00:01:44 - 00:01:46]   아
[00:01:47 - 00:01:49]   아
[00:01:49 - 00:01:51]   아
[00:01:51 - 00:01:53]   아
[00:01:53 - 00:01:55]   아
[00:01:59 - 00:02:01]   아
[00:02:01 - 00:02:03]   아
[00:02:03 - 00:02:05]   아
[00:02:06 - 00:02:08]   아
[00:02:11 - 00:02:13]   아
[00:02:14 - 00:02:16]   아
[00:02:17 - 00:02:19]   아
[00:02:21 - 00:02:23]   아
[00:02:25 - 00:02:27]   아
[00:02:29 - 00:02:31]   아
[00:02:33 - 00:02:35]   아
[00:02:36 - 00:02:38]   아
[00:02:39 - 00:02:41]   아
[00:02:43 - 00:02:45]   아
[00:02:46 - 00:02:48]   아
[00:02:49 - 00:02:51]   아
[00:02:52 - 00:02:54]   아
[00:02:55 - 00:02:57]   아
[00:02:58 - 00:03:00]   아
[00:03:00 - 00:03:02]   아
[00:03:03 - 00:03:05]   아
[00:03:06 - 00:03:08]   아
[00:03:09 - 00:03:11]   아
[00:03:12 - 00:03:14]   아
[00:03:16 - 00:03:18]   아
[00:03:19 - 00:03:21]   아
[00:03:22 - 00:03:24]   아
[00:03:25 - 00:03:27]   아
[00:03:27 - 00:03:29]   아
[00:03:31 - 00:03:33]   아
[00:03:34 - 00:03:36]   아
[00:03:37 - 00:03:39]   아
[00:03:40 - 00:03:42]   아
[00:03:43 - 00:03:45]   아
[00:03:46 - 00:03:48]   아
[00:03:49 - 00:03:51]   아
[00:03:52 - 00:03:54]   아
[00:03:54 - 00:03:56]   아
[00:03:57 - 00:03:59]   아
[00:04:00 - 00:04:02]   아
[00:04:03 - 00:04:05]   아
[00:04:06 - 00:04:08]   아
[00:04:09 - 00:04:11]   아
[00:04:12 - 00:04:14]   아
[00:04:16 - 00:04:18]   아
[00:04:19 - 00:04:21]   아
[00:04:21 - 00:04:23]   아
[00:04:24 - 00:04:26]   아
[00:04:28 - 00:04:30]   아
[00:04:31 - 00:04:33]   아
[00:04:34 - 00:04:36]   아
[00:04:37 - 00:04:39]   아
[00:04:40 - 00:04:42]   아
[00:04:43 - 00:04:45]   아
[00:04:46 - 00:04:48]   아
[00:04:48 - 00:04:50]   아
[00:04:51 - 00:04:53]   아
[00:04:54 - 00:04:56]   아
[00:04:57 - 00:04:59]   아
[00:05:00 - 00:05:02]   아
[00:05:03 - 00:05:05]   아
[00:05:07 - 00:05:09]   아
[00:05:10 - 00:05:12]   아
[00:05:13 - 00:05:15]   아
[00:05:15 - 00:05:17]   아
[00:05:18 - 00:05:20]   아
[00:05:22 - 00:05:24]   아
[00:05:25 - 00:05:27]   아
[00:05:31 - 00:05:33]   아
[00:05:37 - 00:05:39]   아
[00:05:41 - 00:05:43]   아
[00:05:45 - 00:05:47]   아
[00:05:47 - 00:05:49]   아
[00:05:49 - 00:05:51]   기사님
[00:05:51 - 00:05:53]   맷돌 손잡이 알아요?
[00:05:53 - 00:05:55]   맷돌 손잡이를 어휘라 그래요 어휘
[00:05:55 - 00:05:57]   맷돌에 뭘 갈려고 집어넣고
[00:05:57 - 00:05:59]   맷돌을 돌리려고 하는데
[00:05:59 - 00:06:01]   손잡이가 빠졌네
[00:06:01 - 00:06:03]   이런 상황을 어이가 없다 그래요
[00:06:03 - 00:06:05]   황당하잖아
[00:06:05 - 00:06:07]   아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:06:07 - 00:06:09]   지금 내 기분이 그래
[00:06:09 - 00:06:11]   어이가 없네
