[00:00:00 - 00:00:02]   물건을 꺼내야지, 빨리.
[00:00:02 - 00:00:05]   잠깐만요, 트렁크에서 주퀘스트를 꺼낼게요.
[00:00:07 - 00:00:09]   살았다, 화장실.
[00:00:09 - 00:00:10]   화장실 어딨어?
[00:00:13 - 00:00:14]   깜짝이야.
[00:00:14 - 00:00:15]   누구세요?
[00:00:16 - 00:00:17]   뭐야?
[00:00:19 - 00:00:21]   하마터면 바지에 쌀 뻔했네.
[00:00:21 - 00:00:23]   빨리 좀 움직이지 그랬냐.
[00:00:23 - 00:00:26]   너 새끼, 너 아까 저기 낮에 저기...
[00:00:26 - 00:00:27]   사장님.
[00:00:27 - 00:00:28]   고생이 많다.
[00:00:28 - 00:00:30]   우리 식구들 아직 안 왔니?
[00:00:30 - 00:00:31]   아니, 안 들려?
[00:00:31 - 00:00:32]   뭐냐고.
[00:00:34 - 00:00:35]   여보세요.
[00:00:35 - 00:00:36]   뭐해, 안 오고.
[00:00:37 - 00:00:38]   누구시냐고.
[00:00:38 - 00:00:39]   뭐?
[00:00:40 - 00:00:41]   뭐, 주유소?
[00:00:41 - 00:00:43]   기름도 안 넣고 상황되게 하고 있었다고?
[00:00:44 - 00:00:45]   장난.
[00:00:45 - 00:00:47]   빨리 와, 배고파 뒤지겠어.
[00:00:48 - 00:00:49]   뭐하냐, 안 차고.
[00:00:49 - 00:00:51]   너 어디 식구들 이런 거 가지고 작업하냐?
[00:00:53 - 00:00:54]   그러지 마.
[00:00:55 - 00:00:56]   다쳐.
[00:00:58 - 00:00:59]   미친놈.
[00:01:28 - 00:01:29]   미친놈.
[00:01:50 - 00:01:51]   공장 그만.
[00:01:52 - 00:01:53]   야, 그냥 들어가.
[00:01:53 - 00:01:55]   왜 굴러댕기고 지랄이야, 정신사납게.
[00:01:56 - 00:01:57]   차 안 상했어?
[00:01:57 - 00:02:00]   사장님이 이러니까 맨날 똥차 소리나 듣고 승진이 안 되는 거야.
[00:02:00 - 00:02:02]   내가 그랬지, 사람 다쳤나 먼저 물어보라고.
[00:02:03 - 00:02:04]   야, 이 새끼야.
[00:02:04 - 00:02:05]   얘야?
[00:02:05 - 00:02:06]   일어나, 이 새끼야.
[00:02:06 - 00:02:07]   변호사 빌려.
[00:02:08 - 00:02:11]   나 전화를 한 통 안 듣는다니까 깜빡했네.
[00:02:11 - 00:02:12]   부재중이다.
[00:02:13 - 00:02:14]   야, 손오철.
[00:02:14 - 00:02:17]   나 전화 한 통 올 테니까 너 여기 꼼짝 말고 있어.
[00:02:17 - 00:02:19]   아니, 잠깐만.
[00:02:19 - 00:02:22]   너 이번에도 애 병신 만들면 내가 커버를 못 해줘요.
[00:02:22 - 00:02:25]   저때 우리 하우스 털었을 때 애 괜히 손 대가지고.
[00:02:25 - 00:02:28]   걔야 지금 밥 먹을 때 턱받이하고 침 질질 나면서 밥 먹는다니까.
[00:02:28 - 00:02:30]   밥 주면 막 좋아하고.
[00:02:30 - 00:02:32]   아, 얘 이거 사람 때리고 싶어서 형사 돼가지고.
