[00:00:00 - 00:00:02]   장비를 꺼내, 아줌마. 빨리.
[00:00:02 - 00:00:05]   잠깐만요. 트렁크에서 주퀘스트를 꺼낼게요.
[00:00:09 - 00:00:12]   살았다. 화장실. 화장실 어딨어?
[00:00:15 - 00:00:16]   깜짝이야.
[00:00:16 - 00:00:17]   누구세요?
[00:00:20 - 00:00:21]   뭐야?
[00:00:24 - 00:00:26]   하마터면 바지에 쌀 뻔했네.
[00:00:26 - 00:00:28]   빨리 좀 움직이지 그랬냐.
[00:00:28 - 00:00:31]   너 새끼, 너 아까 저기 낮에 저기...
[00:00:31 - 00:00:32]   사장님.
[00:00:32 - 00:00:35]   고생이 많다. 우리 식구들 아직 안 왔니?
[00:00:35 - 00:00:37]   아니, 안 들려? 오냐고.
[00:00:39 - 00:00:40]   여보세요.
[00:00:40 - 00:00:42]   뭐해? 안 오고.
[00:00:42 - 00:00:44]   누구시냐고.
[00:00:44 - 00:00:49]   뭐? 뒤에서? 기름도 안 넣고 상황 대기하고 있었다고?
[00:00:49 - 00:00:51]   나 진짜 장난...
[00:00:51 - 00:00:53]   빨리 와. 배고파. 뒤지겠어.
[00:00:56 - 00:00:57]   뭐하냐? 안 차고.
[00:00:57 - 00:01:00]   너 어디 식구들 이런 거 가지고 작업하냐?
[00:01:02 - 00:01:05]   그러지 마. 다쳐.
[00:01:27 - 00:01:30]   한 병만 마셔.
[00:01:57 - 00:01:59]   3..
[00:01:59 - 00:02:01]   4..
[00:02:01 - 00:02:02]   5..
[00:02:02 - 00:02:03]   2..
[00:02:03 - 00:02:04]   1..
[00:02:12 - 00:02:16]   야 들어가 왜 끌려 때기고 지랄이야? 정신 사납게!
[00:02:16 - 00:02:17]   4..
[00:02:23 - 00:02:25]   야 이씨 för 20.
[00:02:26 - 00:02:28]   변호사 빌려!
[00:02:29 - 00:02:32]   아이씨 나 전화를 한 통 안 받는다니까 깜빡했네.
[00:02:33 - 00:02:34]   부재중이다.
[00:02:34 - 00:02:36]   야 저.. 야 손오철!
[00:02:36 - 00:02:39]   나 이거 전화 한 통 올 테니까 너 여기 꼼짝 말고 있어.
[00:02:39 - 00:02:40]   아잇 잠깐만!
[00:02:41 - 00:02:44]   너 이번에도 애 병신 만들면 내가 커버를 못 해줘요.
[00:02:44 - 00:02:47]   저때 우리 하우스 털었을 때 애 괜히 손 대가지고
[00:02:47 - 00:02:50]   걔 지금 밥 먹을 때 턱받이하고 침 질질 내면서 밥 먹는다니까?
[00:02:51 - 00:02:52]   밥 주면 막 좋아하고.
[00:02:53 - 00:02:56]   아 얘 이거 사람 때리고 싶어서 형사 돼가지고 거참 아픈데 진짜.
[00:02:59 - 00:03:01]   괜찮아 임마.
[00:03:01 - 00:03:01]   잡아.
[00:03:01 - 00:03:03]   잡아 두 손으로.
[00:03:03 - 00:03:06]   경찰을 때리면 어떡하냐? 그것도 등기로.
