[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:00:02 - 00:00:05]   잠깐만요 트렁크에서 주퀘스트를 꺼낼게요
[00:00:08 - 00:00:10]   아유 살았다 야 화장실
[00:00:10 - 00:00:12]   야 화장실 어딨냐 아이고 진짜
[00:00:15 - 00:00:16]   깜짝이야
[00:00:16 - 00:00:17]   누구세요
[00:00:20 - 00:00:21]   뭐야
[00:00:24 - 00:00:26]   하마터면 바지에 쌀 뻔했네
[00:00:26 - 00:00:28]   빨리 좀 움직이지 그랬냐
[00:00:28 - 00:00:31]   너 새끼 너 아까 저기 낮에 저기
[00:00:31 - 00:00:32]   사장님
[00:00:32 - 00:00:34]   아 야 고생이 많다 야
[00:00:34 - 00:00:35]   야 우리 식구들 아직 안 왔니?
[00:00:35 - 00:00:38]   아니 안 들려? 오냐고
[00:00:39 - 00:00:40]   여보세요
[00:00:40 - 00:00:42]   아 뭐해 안 오고
[00:00:42 - 00:00:44]   야 누구시냐고
[00:00:44 - 00:00:45]   뭐?
[00:00:46 - 00:00:47]   뭐 뒤에서?
[00:00:47 - 00:00:49]   기름도 안 넣고 상황 대기하고 있었다고?
[00:00:50 - 00:00:51]   나 진짜 장난
[00:00:51 - 00:00:54]   아 빨리 와 배고파 뒤지겠어
[00:00:55 - 00:00:57]   뭐하냐 안 차고?
[00:00:57 - 00:01:00]   너 어디 식구들 이런 거 가지고 작업하냐?
[00:01:01 - 00:01:05]   에이 그러지마 다쳐
[00:01:25 - 00:01:26]   놔
[00:01:46 - 00:01:47]   놔 놔 놔
[00:01:48 - 00:01:49]   놔 놔 놔
[00:01:55 - 00:01:56]   놔 놔
[00:02:01 - 00:02:02]   에이
[00:02:13 - 00:02:14]   혼자 그만
[00:02:15 - 00:02:16]   야 그냥 들어가
[00:02:16 - 00:02:18]   왜 불러댕기고 지랄이야 정신사납게
[00:02:18 - 00:02:19]   차 안 상했어?
[00:02:19 - 00:02:22]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안 되는 거야
[00:02:22 - 00:02:24]   야 내가 그랬지 사람 다쳤나 먼저 물어보라고
[00:02:25 - 00:02:26]   야 이씨
[00:02:26 - 00:02:27]   얘야?
[00:02:28 - 00:02:29]   변호사 빌려
[00:02:31 - 00:02:34]   아이씨 나 전화를 한 통 안 된다니까 깜빡했네
[00:02:34 - 00:02:36]   저 부재중이라
[00:02:36 - 00:02:37]   야 서도철
[00:02:37 - 00:02:40]   나 전화 한 통 올 테니까 너 여기 꼼짝 말고 있어
[00:02:40 - 00:02:42]   아니 잠깐만
[00:02:43 - 00:02:46]   너 이번에도 애 병신 만들면 내가 카바를 못 해줘요
[00:02:46 - 00:02:49]   저때 우리 하우스 털었을 때 애 괜히 손 대가지고
[00:02:49 - 00:02:52]   걔야 지금 밥 먹을 때 턱받이하고 침 질질 나면서 밥 먹는다니까
[00:02:53 - 00:02:54]   밥 좀 막 좋아하고
[00:02:55 - 00:02:58]   아 얘 이거 사람 때리고 싶어서 형사 돼가지고 골치 아픈데 진짜
[00:03:01 - 00:03:02]   일로와
[00:03:02 - 00:03:03]   일로와 괜찮아 임마 잡아
[00:03:03 - 00:03:05]   잡아 두 손으로
[00:03:06 - 00:03:09]   야 경찰을 때리면 어떡하냐 그것도 등기로
[00:03:09 - 00:03:10]   예
[00:03:10 - 00:03:12]   그 징금을 일단 내려놓고 내려놔 빨리
[00:03:13 - 00:03:14]   정당방위다 이씨
[00:03:16 - 00:03:17]   이 놈의 새끼가
[00:03:18 - 00:03:21]   말로 해 말로 말로 말로 말로
[00:03:23 - 00:03:25]   똑바로 앉아 똑바로 앉아 임마
[00:03:30 - 00:03:31]   힘들지?
[00:03:31 - 00:03:32]   타고 가
[00:03:33 - 00:03:34]   물 줘?
