[00:00:00 - 00:00:01]   담배를 꺼내 아줌마, 빨리
[00:00:01 - 00:00:04]   잠깐만요, 트렁크에서 주퀘스트를 꺼낼게요
[00:00:08 - 00:00:09]   아유, 살았다
[00:00:09 - 00:00:11]   화장실, 화장실 어딨어?
[00:00:11 - 00:00:12]   아이고, 진짜
[00:00:15 - 00:00:16]   깜짝이야
[00:00:16 - 00:00:17]   누구세요?
[00:00:20 - 00:00:21]   뭐야?
[00:00:24 - 00:00:26]   하마터면 바지에 쌀 뻔했네
[00:00:26 - 00:00:27]   빨리 좀 움직이지 그랬냐
[00:00:28 - 00:00:31]   너 새끼, 너 아까 저기 낮에 저기...
[00:00:31 - 00:00:32]   사장님?
[00:00:32 - 00:00:34]   야, 고생이 많다야
[00:00:34 - 00:00:35]   우리 식구들 아직 안 왔니?
[00:00:35 - 00:00:37]   아니, 안 들려?
[00:00:37 - 00:00:38]   오냐고
[00:00:39 - 00:00:40]   여보세요?
[00:00:40 - 00:00:42]   아, 뭐해? 안 오고
[00:00:42 - 00:00:44]   야, 누구시냐고
[00:00:44 - 00:00:45]   뭐?
[00:00:46 - 00:00:47]   뭐, 뒤에서?
[00:00:47 - 00:00:50]   기름도 안 넣고 상황 대기하고 있었다고?
[00:00:50 - 00:00:51]   나 진짜 장난...
[00:00:51 - 00:00:54]   빨리 와, 배고파 뒤지겠어
[00:00:54 - 00:00:56]   뭐하냐? 안 자고?
[00:00:56 - 00:00:58]   너 어디 식구들 이런 거 가지고 작업하냐?
[00:00:59 - 00:01:02]   에이, 그러지 마
[00:01:02 - 00:01:03]   다쳐
[00:01:54 - 00:01:56]   쯧쯧쯧
[00:01:56 - 00:01:57]   에잇
[00:02:03 - 00:02:04]   에잇
[00:02:12 - 00:02:15]   와, 범장иков
[00:02:15 - 00:02:16]   야, 그냥 들어가
[00:02:16 - 00:02:18]   왜 훌러 다 다니고 지랄이야, 정신사납게
[00:02:18 - 00:02:19]   차 안 신었어?
[00:02:19 - 00:02:21]   형님이 이러니까 맨날 똥 차 소리 나고ération
[00:02:21 - 00:02:23]   사람 다쳤나 먼저 물어보라고
[00:02:23 - 00:02:24]   야, 이씨
[00:02:24 - 00:02:25]   얘야?
[00:02:25 - 00:02:26]   일어나, 이 새끼야
[00:02:27 - 00:02:28]   변호사 빌려
[00:02:30 - 00:02:33]   아이씨, 내가 전화를 한 통 안 받는다니까 깜빡했네
[00:02:33 - 00:02:34]   부재중이다
[00:02:35 - 00:02:36]   야, 손오철
[00:02:36 - 00:02:39]   내가 전화 한 통 올 테니까 너 여기 꼼짝 말고 있어
[00:02:39 - 00:02:41]   아니, 잠깐만
[00:02:42 - 00:02:45]   너 이번에도 애 병신 만들면 내가 커버를 못 해줘요
[00:02:45 - 00:02:48]   저때 우리 하우스 털었을 때 너 애 괜히 손 대가지고
[00:02:48 - 00:02:51]   밥 먹을 때 턱받이하고 침 질질 나면서 밥 먹는다니까
[00:02:51 - 00:02:53]   밥 좀 막 좋아하고
[00:02:54 - 00:02:56]   아, 얘 이거 사람 때리고 싶어서 형사 돼가지고
[00:02:56 - 00:02:57]   골치 아픈데, 진짜
